YEAR,TEAM,OVR,OFF,DEF
2043,Bowling Green,99,99,99
2043,Nebraska,99,99,99
2043,Miami,97,99,94
2043,Ohio State,97,99,96
2043,USC,96,96,96
2043,Texas Tech,96,96,96
2043,Clemson,95,99,91
2043,Notre Dame,95,99,91
2043,Florida,95,96,94
2043,Georgia,94,94,96
2043,Rapid City,94,94,94
2043,Texas,92,91,94
2043,Alabama,92,94,91
2043,Oregon,92,91,94
2043,LSU,91,91,91
2043,Ole Miss,91,89,94
2043,Florida State,91,91,91
2043,Texas A&M,91,91,91
2043,Hammond,89,89,91
2043,Michigan,89,89,91
2043,TCU,89,91,86
2043,San Jose State,89,89,89
2043,Penn State,88,86,91
2043,Auburn,87,86,89
2043,Washington,87,89,84
2043,Wyoming,86,84,89
2043,NC State,86,86,86
2043,Oklahoma State,86,86,86
2043,Death Valley,85,89,81
2043,Tennessee,84,84,84
2043,North Carolina,84,84,84
2043,UCLA,84,84,86
2043,SMU,84,84,84
2043,Georgia Tech,83,81,86
2043,USF,83,81,86
2043,West Virginia,83,81,86
2043,Panama City,83,81,86
2043,Oklahoma,82,81,84
2043,Baylor,82,81,84
2043,Alabaster,81,81,81
2043,Arkansas,80,81,79
2043,San Diego State,80,81,79
2043,Virginia Tech,79,81,76
2043,Arizona State,79,79,79
2043,Iowa,79,81,76
2043,Wisconsin,77,76,79
2043,Colorado,77,76,79
2043,Stanford,77,79,76
2043,BYU,77,79,74
2043,Boise State,76,74,79
2043,Houston,76,74,81
2043,Maryland,76,76,76
2043,Pittsburgh,76,76,76
2043,Indiana,76,76,76
2043,Fresno State,75,76,74
2043,Michigan State,75,76,74
2043,Memphis,75,79,71
2043,Temple,74,74,76
2043,California,74,74,74
2043,Duke,74,74,76
2043,East Carolina,74,74,74
2043,North Texas,74,71,79
2043,Virginia,74,74,74
2043,Wake Forest,74,71,79
2043,Minnesota,73,71,76
2043,Missouri,72,74,71
2043,Purdue,72,71,74
2043,Kansas,72,74,69
2043,UCF,72,71,74
2043,Utah,72,71,74
2043,Tulane,72,74,71
2043,Illinois,72,74,71
2043,Toledo,72,71,74
2043,Southern Mississippi,71,71,71
2043,Kentucky,71,71,71
2043,UConn,71,71,71
2043,Mississippi State,71,69,74
2043,Rutgers,71,71,71
2043,Syracuse,70,71,69
2043,Air Force,70,71,69
2043,Miami University,70,71,69
2043,Marshall,70,71,69
2043,Rice,70,71,69
2043,Arkansas State,70,71,69
2043,UTSA,70,71,69
2043,Louisville,70,71,69
2043,Ohio,70,71,69
2043,Troy,69,69,69
2043,Appalachian State,69,69,69
2043,South Carolina,69,66,74
2043,Washington State,69,71,66
2043,Kansas State,69,69,69
2043,Louisiana,69,71,66
2043,Louisiana Tech,69,69,71
2043,Gate City,69,69,69
2043,Florida International,69,69,69
2043,Cincinnati,69,69,69
2043,Boston College,69,66,74
2043,Arizona,67,66,69
2043,Georgia Southern,67,66,69
2043,Colorado State,67,66,69
2043,Vanderbilt,67,69,64
2043,Navy,67,66,69
2043,Hawai'i,67,66,69
2043,Tulsa,67,66,69
2043,Middle Tennessee,67,66,69
2043,Eastern Michigan,66,64,69
2043,Liberty,65,66,64
2043,New Mexico State,65,66,64
2043,Ball State,65,66,64
2043,Kent State,65,69,61
2043,Army,65,66,64
2043,Northwestern,64,64,66
2043,UL Monroe,64,64,64
2043,Massachusetts,63,59,69
2043,UMass,62,61,64
2043,Akron,62,61,64
2043,Utah State,62,61,64
2043,Iowa State,62,61,64
2043,James Madison,62,61,64
2043,Oregon State,62,64,61
2043,Texas State,61,61,61
2043,Coastal Carolina,61,61,61
2043,Western Michigan,61,61,61
2043,Central Michigan,60,61,59
2043,UNLV,60,61,59
2043,Jacksonville State,60,61,59
2043,Western Kentucky,59,59,59
2043,Delaware,59,59,61
2043,Georgia State,59,61,56
2043,Kennesaw State,59,59,61
2043,Old Dominion,59,61,56
2043,Sam Houston,58,56,61
2043,South Alabama,57,56,59
2043,UTEP,57,56,59
2043,Charlotte,57,56,59
2043,Missouri State,56,54,61
