Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Texas Tech,88.4,86.7,97.3,82.7,88.2,90,90.0,80.0,89.5,62.0,98,100.0
Notre Dame,86.6,83.3,93.5,99.2,84.1,74,100.0,80.0,85.9,62.0,74,100.0
Bowling Green,85.6,96.7,96.9,67.7,82.1,90,70.0,80.0,98.4,62.0,74,100.0
Nebraska,81.0,96.7,98.8,49.6,94.6,74,70.0,66.7,57.9,51.8,100,100.0
Ole Miss,80.5,70.8,89.2,93.8,79.8,78,100.0,75.0,59.7,100.0,74,50.0
Texas,79.7,74.2,80.8,89.2,80.1,82,90.0,80.0,71.2,36.2,86,100.0
Florida State,79.4,70.0,88.5,42.7,83.5,82,100.0,80.0,88.3,62.0,74,100.0
Florida,78.7,83.3,86.2,85.4,80.7,78,70.0,80.0,72.7,60.5,62,80.0
Georgia,78.5,81.7,94.6,72.7,77.7,86,80.0,62.5,52.8,100.0,86,50.0
Ohio State,78.0,90.8,96.9,68.8,79.8,62,90.0,50.0,42.8,100.0,86,50.0
Miami,77.9,89.2,91.9,47.7,82.9,70,70.0,80.0,71.7,62.0,86,50.0
Alabama,76.8,74.2,95.4,78.8,78.3,86,90.0,50.0,55.7,45.5,98,50.0
San Jose State,76.0,63.3,93.5,93.8,69.0,74,70.0,80.0,85.5,66.5,50,100.0
USF,74.8,44.2,95.8,77.7,69.0,78,100.0,80.0,87.6,65.0,62,50.0
Clemson,73.1,83.3,86.2,71.5,73.2,58,70.0,62.5,58.0,80.9,74,50.0
Penn State,72.9,60.8,91.9,83.5,75.2,74,100.0,44.4,49.2,82.2,74,50.0
NC State,72.4,53.3,80.0,73.1,71.8,86,90.0,77.8,71.7,35.3,86,50.0
Oregon,71.1,74.2,86.2,89.2,81.4,70,50.0,62.5,60.4,47.0,74,50.0
Michigan,71.0,65.0,85.4,96.5,72.7,62,80.0,75.0,65.5,0.1,50,50.0
Washington,70.3,55.8,88.1,61.5,67.1,66,80.0,77.8,66.5,56.0,86,50.0
Texas A&M,70.3,70.0,76.2,86.5,84.5,66,50.0,75.0,69.5,57.5,62,50.0
Rapid City,69.9,80.0,85.8,86.2,76.9,82,70.0,22.2,36.9,100.0,62,50.0
Auburn,69.2,57.5,83.5,95.0,77.2,66,100.0,44.4,59.1,0.0,62,50.0
LSU,68.9,70.0,80.0,86.9,76.4,74,55.0,50.0,48.0,100.0,74,50.0
Hammond,68.5,65.0,85.8,66.9,77.0,74,90.0,33.3,37.2,87.8,74,50.0
