Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Notre Dame,85.1,96.7,93.1,99.2,84.3,78,90.0,50.0,78.4,54.5,86,100.0
Alabama,81.6,83.3,94.6,98.5,84.1,74,100.0,50.0,67.0,60.5,62,100.0
Bowling Green,81.3,86.7,98.5,62.3,78.4,70,100.0,50.0,88.5,56.0,74,100.0
Texas,81.2,90.8,83.1,97.7,89.7,82,90.0,50.0,54.0,48.5,98,80.0
Texas Tech,81.2,74.2,95.4,87.7,78.4,82,100.0,50.0,88.2,56.0,74,100.0
Nebraska,78.7,96.7,99.2,20.8,93.6,78,90.0,50.0,58.5,51.5,100,50.0
Ohio State,77.7,90.8,96.9,94.6,81.8,66,70.0,50.0,56.7,33.5,74,100.0
Michigan,75.8,96.7,88.5,96.2,81.7,62,50.0,50.0,79.0,53.0,62,50.0
Georgia,75.7,89.2,97.7,61.5,85.0,78,70.0,50.0,73.5,51.5,50,50.0
Ole Miss,75.4,70.0,89.2,96.9,75.0,86,80.0,50.0,71.5,56.0,74,50.0
Clemson,74.4,90.8,84.6,69.2,74.5,74,70.0,50.0,51.5,44.0,98,80.0
Auburn,73.7,55.8,81.5,93.8,75.8,78,100.0,50.0,52.3,56.0,98,100.0
USF,72.8,48.3,93.8,95.4,70.1,78,100.0,50.0,74.7,28.7,62,100.0
USC,72.8,83.3,96.2,56.2,76.8,62,70.0,50.0,75.9,53.0,62,50.0
Florida State,72.7,74.2,86.2,86.9,80.0,82,70.0,50.0,56.7,53.0,74,50.0
Penn State,72.2,80.0,91.5,90.0,78.9,58,70.0,50.0,62.1,50.0,50,50.0
Texas A&M,71.9,63.3,72.3,80.0,74.2,78,100.0,50.0,72.6,54.5,74,50.0
Florida,71.5,65.0,82.3,83.8,73.5,78,70.0,50.0,64.6,57.5,86,100.0
Georgia Tech,71.5,70.0,73.1,66.2,78.2,82,100.0,50.0,57.3,47.0,74,50.0
Rapid City,70.5,74.2,86.9,82.3,80.5,66,70.0,50.0,46.2,92.3,50,50.0
LSU,70.1,66.7,78.5,78.5,73.0,70,70.0,50.0,79.4,54.5,62,100.0
Oklahoma,69.8,54.2,77.7,70.8,87.0,78,90.0,50.0,52.9,53.0,98,50.0
Miami,69.2,83.3,90.8,0.0,85.0,66,90.0,50.0,41.1,47.0,86,50.0
TCU,66.2,53.3,83.8,92.3,74.8,82,50.0,50.0,71.6,51.5,62,50.0
San Jose State,66.0,42.5,92.3,93.1,75.5,66,55.0,50.0,61.7,100.0,50,100.0
Tennessee,66.0,46.7,73.8,91.5,68.2,78,90.0,50.0,58.4,48.5,62,50.0
Oregon,66.0,66.7,85.4,86.2,75.6,54,50.0,50.0,63.6,48.5,62,50.0
NC State,64.9,57.5,79.2,58.5,78.8,78,70.0,50.0,40.7,90.7,62,50.0
Hammond,64.2,70.0,87.7,40.0,68.1,66,70.0,50.0,38.8,39.5,74,50.0
Washington,63.1,66.7,90.0,36.9,66.9,66,65.0,50.0,40.6,42.5,74,50.0
Arizona State,62.1,40.8,76.2,71.5,63.2,58,90.0,50.0,61.3,53.0,62,50.0
Oklahoma State,61.7,55.8,74.6,74.6,67.8,50,70.0,50.0,56.9,56.0,50,50.0
Wyoming,60.6,48.3,39.2,44.6,83.8,82,90.0,50.0,66.0,54.5,74,50.0
Alabaster,60.4,46.7,67.7,12.3,75.6,70,100.0,50.0,41.6,100.0,62,50.0
Arkansas,60.1,46.7,70.8,47.7,71.6,66,90.0,50.0,32.9,85.7,50,50.0
Panama City,59.8,39.2,80.8,84.6,70.5,66,70.0,50.0,51.2,12.0,50,50.0
UCLA,59.2,40.8,76.9,45.4,67.5,66,70.0,50.0,67.8,53.0,62,50.0
Death Valley,58.8,29.2,63.8,63.8,73.0,74,100.0,50.0,39.5,32.0,62,80.0
Duke,58.3,24.2,75.4,89.2,63.2,62,70.0,50.0,64.6,56.0,62,50.0
West Virginia,57.9,33.3,60.0,42.3,79.0,62,70.0,50.0,65.4,54.5,86,100.0
SMU,56.6,31.7,71.5,57.7,67.5,62,70.0,50.0,65.4,57.5,50,50.0
East Carolina,56.4,20.0,50.8,73.1,68.5,58,100.0,50.0,64.6,57.5,62,50.0
Baylor,56.3,36.7,80.0,50.0,59.5,62,70.0,50.0,55.3,45.5,50,50.0
Houston,56.3,27.5,66.2,88.5,83.5,54,55.0,50.0,59.3,60.5,50,50.0
North Carolina,55.8,31.7,66.9,36.2,67.1,66,90.0,50.0,48.8,47.0,62,50.0
Stanford,54.9,33.3,49.2,60.8,67.1,54,90.0,50.0,65.1,33.6,50,50.0
Wake Forest,52.8,5.8,61.5,72.3,65.8,62,90.0,50.0,59.3,56.0,50,50.0
North Texas,52.5,27.5,64.6,90.8,58.2,66,55.0,50.0,51.1,12.3,50,50.0
Virginia Tech,52.5,33.3,69.2,43.8,65.5,62,50.0,50.0,57.2,45.5,62,50.0
California,51.5,20.0,65.4,77.7,53.2,74,70.0,50.0,42.0,23.0,50,50.0
Indiana,51.4,20.0,55.4,60.0,66.4,70,55.0,50.0,68.8,51.5,62,50.0
Memphis,50.2,16.7,57.7,76.2,53.5,58,70.0,50.0,52.7,51.5,50,50.0
Missouri,50.1,20.0,63.1,63.1,66.5,70,70.0,50.0,28.7,29.0,50,50.0
San Diego State,47.8,39.2,40.0,50.0,67.3,54,55.0,50.0,34.7,32.0,62,50.0
Iowa,47.8,29.2,70.0,26.2,58.0,62,55.0,50.0,46.7,13.7,50,50.0
Wisconsin,47.7,20.0,60.8,16.9,66.3,70,55.0,50.0,55.0,32.0,74,50.0
UCF,47.5,0.0,44.6,76.9,60.5,74,80.0,50.0,47.7,50.0,50,50.0
BYU,47.4,30.0,36.2,46.2,60.2,62,50.0,50.0,73.6,51.5,50,50.0
Toledo,46.5,12.5,53.8,73.8,50.5,50,55.0,50.0,61.2,50.0,50,50.0
Illinois,46.4,7.5,54.6,83.1,58.5,70,55.0,50.0,31.7,54.5,50,50.0
Kansas,46.1,16.7,40.8,59.2,58.0,54,70.0,50.0,57.2,28.9,50,50.0
Pittsburgh,45.6,24.2,32.3,6.9,76.5,54,70.0,50.0,68.1,54.5,50,50.0
South Carolina,45.5,7.5,38.5,80.8,65.5,54,70.0,50.0,23.2,90.0,50,50.0
Virginia,45.2,16.7,56.2,81.5,50.5,54,55.0,50.0,35.8,5.2,50,50.0
Temple,45.2,7.5,58.5,79.2,56.0,50,50.0,50.0,48.2,36.5,50,50.0
Troy,44.8,16.7,46.9,48.5,71.5,50,55.0,50.0,56.9,6.7,50,50.0
Kentucky,44.8,4.2,37.7,67.7,58.5,62,70.0,50.0,54.8,48.5,50,50.0
Fresno State,43.3,0.0,45.4,54.6,56.5,66,55.0,50.0,52.0,85.8,50,50.0
Michigan State,43.2,7.5,48.5,30.0,56.0,54,55.0,50.0,73.3,56.0,50,50.0
