Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Texas Tech,87.6,86.7,97.3,82.7,88.2,90,90.0,80.0,81.8,54.5,98,100.0
Notre Dame,86.1,83.3,93.5,99.2,84.1,74,100.0,80.0,82.1,54.5,74,100.0
Nebraska,83.5,96.7,98.8,49.6,94.6,74,70.0,75.0,60.9,100.0,100,100.0
Bowling Green,81.4,96.7,96.9,67.7,82.1,90,70.0,75.0,68.5,18.5,74,100.0
Texas,80.7,74.2,80.8,89.2,80.1,82,90.0,80.0,76.9,54.5,86,100.0
Georgia,80.4,81.7,94.6,72.7,77.7,86,80.0,75.0,60.5,100.0,86,50.0
Florida State,79.3,70.0,88.5,42.7,83.5,82,100.0,80.0,89.6,56.0,74,100.0
Ole Miss,78.9,70.8,89.2,93.8,79.8,78,100.0,66.7,69.6,48.5,74,50.0
Miami,78.3,89.2,91.9,47.7,82.9,70,70.0,80.0,79.4,54.5,86,50.0
Florida,78.3,83.3,86.2,85.4,80.7,78,70.0,80.0,77.3,56.0,62,50.0
Alabama,76.6,74.2,95.4,78.8,78.3,86,90.0,50.0,54.9,39.5,98,50.0
Ohio State,76.4,90.8,96.9,68.8,79.8,62,90.0,50.0,41.4,48.5,86,50.0
San Jose State,75.2,63.3,93.5,93.8,69.0,74,70.0,80.0,85.0,56.0,50,80.0
USF,74.2,44.2,95.8,77.7,69.0,78,100.0,80.0,82.3,57.5,62,50.0
Penn State,73.6,60.8,91.9,83.5,75.2,74,100.0,50.0,44.2,100.0,74,50.0
Auburn,73.1,57.5,83.5,95.0,77.2,66,100.0,75.0,66.3,6.7,62,50.0
Oregon,72.9,74.2,86.2,89.2,81.4,70,50.0,75.0,72.2,31.1,74,50.0
NC State,72.9,53.3,80.0,73.1,71.8,86,90.0,75.0,75.6,50.0,86,50.0
Michigan,71.9,65.0,85.4,96.5,72.7,62,80.0,75.0,60.6,44.0,50,50.0
Texas A&M,71.2,70.0,76.2,86.5,84.5,66,50.0,80.0,73.3,60.5,62,50.0
Tennessee,70.1,46.7,74.6,90.0,72.5,74,90.0,75.0,68.0,50.0,74,50.0
Clemson,69.9,83.3,86.2,71.5,73.2,58,70.0,33.3,47.2,100.0,74,50.0
LSU,69.1,70.0,80.0,86.9,76.4,74,55.0,66.7,48.2,51.5,74,50.0
TCU,67.5,62.5,80.0,91.9,67.5,58,70.0,66.7,57.5,56.0,50,50.0
Rapid City,66.9,80.0,85.8,86.2,76.9,82,70.0,20.0,30.2,26.0,62,50.0
Washington,66.4,55.8,88.1,61.5,67.1,66,80.0,50.0,55.1,50.0,86,50.0
Hammond,65.6,65.0,85.8,66.9,77.0,74,90.0,25.0,33.0,29.0,74,50.0
Oklahoma,65.4,40.8,80.4,84.2,74.1,74,50.0,80.0,75.9,56.0,62,50.0
USC,64.7,86.7,92.3,37.3,75.3,70,70.0,25.0,33.3,33.5,50,50.0
Oklahoma State,64.7,53.3,76.2,48.8,74.5,58,70.0,80.0,53.7,100.0,50,50.0
North Carolina,62.8,46.7,70.4,44.6,65.1,74,70.0,75.0,63.3,53.0,62,100.0
San Diego State,61.8,33.3,67.7,73.5,72.8,70,80.0,80.0,61.9,8.3,62,50.0
East Carolina,61.6,13.3,57.7,79.2,90.5,58,100.0,80.0,61.5,60.5,62,50.0
Wyoming,60.7,54.2,38.1,40.8,86.4,78,100.0,50.0,47.0,9.2,74,100.0
UCLA,60.6,48.3,73.8,48.5,71.5,70,70.0,66.7,43.0,45.5,62,50.0
Baylor,60.3,40.8,76.2,69.6,59.7,74,55.0,75.0,60.1,53.0,50,50.0
Panama City,59.3,44.2,77.7,65.8,64.5,62,50.0,75.0,53.3,48.5,50,50.0
West Virginia,59.0,44.2,59.2,33.1,76.4,78,90.0,50.0,42.0,36.8,86,50.0
Virginia Tech,58.2,29.2,73.1,56.9,63.5,54,55.0,80.0,79.9,53.0,62,50.0
Wisconsin,57.4,24.2,64.2,44.2,78.9,78,55.0,80.0,56.1,54.5,86,50.0
Georgia Tech,57.2,44.2,69.2,49.2,76.9,78,70.0,33.3,39.9,44.0,74,50.0
Death Valley,56.4,50.0,71.5,53.1,73.8,66,100.0,20.0,13.4,29.0,50,50.0
Arkansas,55.9,33.3,67.3,48.5,65.6,58,70.0,66.7,73.9,3.8,50,50.0
Alabaster,55.4,36.7,68.8,14.2,70.2,78,55.0,75.0,58.4,40.5,62,50.0
SMU,54.8,46.7,71.5,55.0,65.0,62,70.0,33.3,39.5,38.0,50,50.0
Iowa,52.0,29.2,69.6,38.5,64.6,62,55.0,60.0,44.3,53.0,50,80.0
BYU,51.8,22.5,52.3,41.2,70.0,70,55.0,75.0,58.7,47.0,62,50.0
Wake Forest,51.8,15.0,61.9,78.5,61.3,54,55.0,75.0,52.0,53.0,50,50.0
Virginia,51.1,13.3,56.5,78.1,50.0,54,55.0,80.0,66.1,53.0,50,50.0
California,50.8,13.3,55.0,60.8,62.0,58,70.0,75.0,49.9,45.5,50,50.0
Memphis,50.7,16.7,49.6,66.5,53.5,54,70.0,80.0,64.1,15.0,50,50.0
Arizona State,50.6,30.0,47.7,35.4,65.5,62,55.0,75.0,50.5,50.0,62,50.0
Houston,50.0,22.5,56.2,72.3,64.6,62,35.0,66.7,51.2,47.0,62,50.0
Fresno State,50.0,16.7,53.5,65.0,61.5,58,70.0,66.7,52.7,13.1,50,50.0
Maryland,49.6,20.0,60.0,40.8,67.0,70,35.0,75.0,61.5,53.0,50,50.0
