Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Texas Tech,87.8,86.7,97.3,82.7,88.2,90,90.0,80.0,84.2,57.5,98,100.0
Notre Dame,86.4,83.3,93.5,99.2,84.1,74,100.0,80.0,84.4,57.5,74,100.0
Bowling Green,85.2,96.7,96.9,67.7,82.1,90,70.0,80.0,94.3,57.5,74,100.0
Nebraska,82.5,96.7,98.8,49.6,94.6,74,70.0,66.7,58.2,100.0,100,100.0
Florida State,79.9,70.0,88.5,42.7,83.5,82,100.0,80.0,95.1,59.0,74,100.0
Texas,79.3,74.2,80.8,89.2,80.1,82,90.0,80.0,67.4,32.5,86,100.0
Alabama,78.7,74.2,95.4,78.8,78.3,86,90.0,66.7,56.9,48.5,98,50.0
Miami,78.5,89.2,91.9,47.7,82.9,70,70.0,80.0,80.6,57.5,86,50.0
Florida,78.4,83.3,86.2,85.4,80.7,78,70.0,80.0,77.2,59.0,62,50.0
Ole Miss,77.4,70.8,89.2,93.8,79.8,78,100.0,60.0,57.9,53.0,74,50.0
San Jose State,75.5,63.3,93.5,93.8,69.0,74,70.0,80.0,81.8,59.0,50,100.0
Georgia,74.8,81.7,94.6,72.7,77.7,86,80.0,40.0,37.3,93.0,86,50.0
Ohio State,74.5,90.8,96.9,68.8,79.8,62,90.0,40.0,33.2,39.5,86,50.0
USF,74.5,44.2,95.8,77.7,69.0,78,100.0,80.0,84.8,60.5,62,50.0
NC State,73.6,53.3,80.0,73.1,71.8,86,90.0,80.0,77.0,53.0,86,50.0
Oregon,73.4,74.2,86.2,89.2,81.4,70,50.0,80.0,71.9,32.6,74,50.0
Clemson,72.6,83.3,86.2,71.5,73.2,58,70.0,60.0,57.3,74.5,74,50.0
Penn State,72.6,60.8,91.9,83.5,75.2,74,100.0,50.0,52.3,45.5,74,50.0
Michigan,72.2,65.0,85.4,96.5,72.7,62,80.0,80.0,68.4,16.2,50,50.0
Texas A&M,71.8,70.0,76.2,86.5,84.5,66,50.0,80.0,80.6,60.5,62,50.0
Rapid City,71.6,80.0,85.8,86.2,76.9,82,70.0,33.3,44.3,100.0,62,50.0
Auburn,70.8,57.5,83.5,95.0,77.2,66,100.0,50.0,54.9,44.0,62,50.0
LSU,70.2,70.0,80.0,86.9,76.4,74,55.0,60.0,51.5,100.0,74,50.0
Washington,68.2,55.8,88.1,61.5,67.1,66,80.0,66.7,56.3,51.5,86,50.0
Tennessee,68.0,46.7,74.6,90.0,72.5,74,90.0,66.7,64.5,15.5,74,50.0
Hammond,68.0,65.0,85.8,66.9,77.0,74,90.0,33.3,37.8,67.7,74,50.0
TCU,65.4,62.5,80.0,91.9,67.5,58,70.0,60.0,54.8,15.3,50,50.0
USC,64.0,86.7,92.3,37.3,75.3,70,70.0,20.0,33.3,27.5,50,50.0
Oklahoma State,63.8,53.3,76.2,48.8,74.5,58,70.0,80.0,59.0,56.0,50,50.0
North Carolina,62.7,46.7,70.4,44.6,65.1,74,70.0,66.7,63.7,77.2,62,100.0
UCLA,62.4,48.3,73.8,48.5,71.5,70,70.0,80.0,56.9,23.8,62,50.0
San Diego State,61.9,33.3,67.7,73.5,72.8,70,80.0,80.0,66.5,1.4,62,50.0
East Carolina,61.7,13.3,57.7,79.2,90.5,58,100.0,80.0,62.2,60.5,62,50.0
Oklahoma,61.4,40.8,80.4,84.2,74.1,74,50.0,60.0,54.9,44.0,62,50.0
Baylor,61.2,40.8,76.2,69.6,59.7,74,55.0,80.0,64.0,54.5,50,50.0
Wyoming,60.9,54.2,38.1,40.8,86.4,78,100.0,50.0,53.8,0.0,74,100.0
West Virginia,59.8,44.2,59.2,33.1,76.4,78,90.0,60.0,49.9,7.8,86,50.0
Death Valley,59.0,50.0,71.5,53.1,73.8,66,100.0,20.0,32.0,65.6,50,50.0
