Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Texas Tech,88.6,86.7,97.3,82.7,88.2,90,90.0,80.0,90.3,68.0,98,100.0
Notre Dame,86.3,83.3,93.5,99.2,84.1,74,100.0,80.0,83.1,59.0,74,100.0
Bowling Green,84.9,96.7,96.9,67.7,82.1,90,70.0,80.0,96.2,43.2,74,100.0
Nebraska,82.0,96.7,98.8,49.6,94.6,74,70.0,72.7,60.4,59.0,100,100.0
Florida State,80.6,70.0,88.5,42.7,83.5,82,100.0,80.0,88.7,100.0,74,100.0
Texas,79.9,74.2,80.8,89.2,80.1,82,90.0,80.0,72.9,37.5,86,100.0
Ohio State,79.5,90.8,96.9,68.8,79.8,62,90.0,60.0,48.3,100.0,86,50.0
Florida,79.5,83.3,86.2,85.4,80.7,78,70.0,80.0,76.8,63.5,62,100.0
Ole Miss,78.9,70.8,89.2,93.8,79.8,78,100.0,60.0,58.5,100.0,74,50.0
Miami,78.2,89.2,91.9,47.7,82.9,70,70.0,80.0,74.5,65.0,86,50.0
Georgia,77.0,81.7,94.6,72.7,77.7,86,80.0,50.0,49.0,100.0,86,50.0
Alabama,76.7,74.2,95.4,78.8,78.3,86,90.0,50.0,54.6,44.0,98,50.0
San Jose State,76.0,63.3,93.5,93.8,69.0,74,70.0,80.0,85.3,68.0,50,100.0
USF,75.0,44.2,95.8,77.7,69.0,78,100.0,80.0,89.8,65.0,62,50.0
Penn State,72.8,60.8,91.9,83.5,75.2,74,100.0,50.0,55.0,45.5,74,50.0
NC State,72.7,53.3,80.0,73.1,71.8,86,90.0,80.0,72.6,35.6,86,50.0
Clemson,72.7,83.3,86.2,71.5,73.2,58,70.0,60.0,59.6,71.8,74,50.0
Oregon,71.4,74.2,86.2,89.2,81.4,70,50.0,60.0,55.7,77.8,74,50.0
Texas A&M,71.0,70.0,76.2,86.5,84.5,66,50.0,80.0,68.4,66.5,62,50.0
Michigan,70.6,65.0,85.4,96.5,72.7,62,80.0,70.0,67.0,0.0,50,50.0
Auburn,70.1,57.5,83.5,95.0,77.2,66,100.0,45.4,55.5,35.0,62,50.0
Rapid City,69.7,80.0,85.8,86.2,76.9,82,70.0,20.0,37.4,100.0,62,50.0
Hammond,69.5,65.0,85.8,66.9,77.0,74,90.0,36.4,41.2,100.0,74,50.0
LSU,69.2,70.0,80.0,86.9,76.4,74,55.0,50.0,51.0,100.0,74,50.0
Washington,68.1,55.8,88.1,61.5,67.1,66,80.0,70.0,64.4,14.6,86,50.0
USC,66.7,86.7,92.3,37.3,75.3,70,70.0,30.0,40.9,64.1,50,50.0
Tennessee,66.5,46.7,74.6,90.0,72.5,74,90.0,60.0,61.0,0.0,74,50.0
TCU,66.3,62.5,80.0,91.9,67.5,58,70.0,70.0,59.7,0.0,50,50.0
Oklahoma State,63.3,53.3,76.2,48.8,74.5,58,70.0,80.0,61.0,35.1,50,50.0
