Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Notre Dame,86.0,96.7,93.1,99.2,84.3,78,90.0,50.0,86.6,62.0,86,100.0
Texas Tech,81.9,74.2,95.4,87.7,78.4,82,100.0,50.0,92.7,68.0,74,100.0
Alabama,81.8,83.3,94.6,98.5,84.1,74,100.0,50.0,54.6,100.0,62,100.0
Bowling Green,81.5,86.7,98.5,62.3,78.4,70,100.0,50.0,86.2,68.0,74,100.0
Texas,80.9,90.8,83.1,97.7,89.7,82,90.0,50.0,67.6,1.7,98,80.0
Nebraska,80.6,96.7,99.2,20.8,93.6,78,90.0,50.0,63.6,100.0,100,50.0
Ohio State,77.2,90.8,96.9,94.6,81.8,66,70.0,50.0,63.0,0.0,74,100.0
Clemson,76.6,90.8,84.6,69.2,74.5,74,70.0,50.0,67.5,76.5,98,80.0
Georgia,76.1,89.2,97.7,61.5,85.0,78,70.0,50.0,60.3,100.0,50,50.0
Ole Miss,75.1,70.0,89.2,96.9,75.0,86,80.0,50.0,68.1,57.5,74,50.0
Auburn,74.9,55.8,81.5,93.8,75.8,78,100.0,50.0,69.9,49.5,98,100.0
Florida State,73.7,74.2,86.2,86.9,80.0,82,70.0,50.0,70.5,51.2,74,50.0
USF,73.6,48.3,93.8,95.4,70.1,78,100.0,50.0,86.9,24.3,62,100.0
Michigan,73.2,96.7,88.5,96.2,81.7,62,50.0,50.0,65.8,0.0,62,50.0
Texas A&M,72.6,63.3,72.3,80.0,74.2,78,100.0,50.0,77.2,65.0,74,50.0
Florida,72.0,65.0,82.3,83.8,73.5,78,70.0,50.0,67.6,66.5,86,100.0
Penn State,72.0,80.0,91.5,90.0,78.9,58,70.0,50.0,62.1,42.5,50,50.0
USC,72.0,83.3,96.2,56.2,76.8,62,70.0,50.0,61.8,65.0,62,50.0
Georgia Tech,71.9,70.0,73.1,66.2,78.2,82,100.0,50.0,72.1,21.3,74,50.0
Miami,70.9,83.3,90.8,0.0,85.0,66,90.0,50.0,60.4,53.0,86,50.0
