Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Texas Tech,88.0,86.7,97.3,82.7,88.2,90,90.0,80.0,86.0,59.0,98,100.0
Notre Dame,86.3,83.3,93.5,99.2,84.1,74,100.0,80.0,83.3,59.0,74,100.0
Bowling Green,85.5,96.7,96.9,67.7,82.1,90,70.0,80.0,97.6,59.0,74,100.0
Nebraska,83.1,96.7,98.8,49.6,94.6,74,70.0,71.4,60.0,100.0,100,100.0
Alabama,79.9,74.2,95.4,78.8,78.3,86,90.0,66.7,57.0,90.3,98,50.0
Florida State,79.8,70.0,88.5,42.7,83.5,82,100.0,80.0,94.4,59.0,74,100.0
Texas,79.4,74.2,80.8,89.2,80.1,82,90.0,80.0,69.3,30.0,86,100.0
Florida,78.4,83.3,86.2,85.4,80.7,78,70.0,80.0,77.4,59.0,62,50.0
Ole Miss,78.3,70.8,89.2,93.8,79.8,78,100.0,66.7,59.6,57.5,74,50.0
Miami,77.8,89.2,91.9,47.7,82.9,70,70.0,80.0,72.7,54.5,86,50.0
Ohio State,77.5,90.8,96.9,68.8,79.8,62,90.0,50.0,39.7,90.7,86,50.0
Georgia,76.4,81.7,94.6,72.7,77.7,86,80.0,50.0,46.8,88.5,86,50.0
San Jose State,75.3,63.3,93.5,93.8,69.0,74,70.0,80.0,78.7,60.5,50,100.0
USF,74.7,44.2,95.8,77.7,69.0,78,100.0,80.0,85.8,65.0,62,50.0
NC State,73.7,53.3,80.0,73.1,71.8,86,90.0,80.0,77.6,54.5,86,50.0
Clemson,73.3,83.3,86.2,71.5,73.2,58,70.0,66.7,58.5,72.3,74,50.0
Penn State,73.0,60.8,91.9,83.5,75.2,74,100.0,57.1,58.1,19.2,74,50.0
Auburn,71.9,57.5,83.5,95.0,77.2,66,100.0,57.1,60.5,42.5,62,50.0
Texas A&M,71.2,70.0,76.2,86.5,84.5,66,50.0,80.0,74.9,57.5,62,50.0
Oregon,70.7,74.2,86.2,89.2,81.4,70,50.0,66.7,66.5,1.2,74,50.0
Rapid City,70.7,80.0,85.8,86.2,76.9,82,70.0,28.6,39.3,100.0,62,50.0
Michigan,70.5,65.0,85.4,96.5,72.7,62,80.0,71.4,63.8,0.2,50,50.0
Washington,69.1,55.8,88.1,61.5,67.1,66,80.0,71.4,60.4,53.0,86,50.0
LSU,68.8,70.0,80.0,86.9,76.4,74,55.0,50.0,46.0,100.0,74,50.0
Tennessee,68.4,46.7,74.6,90.0,72.5,74,90.0,71.4,65.8,10.7,74,50.0
Hammond,67.5,65.0,85.8,66.9,77.0,74,90.0,28.6,35.8,72.5,74,50.0
TCU,66.2,62.5,80.0,91.9,67.5,58,70.0,66.7,58.1,10.8,50,50.0
Oklahoma State,64.2,53.3,76.2,48.8,74.5,58,70.0,80.0,61.9,60.5,50,50.0
USC,64.0,86.7,92.3,37.3,75.3,70,70.0,20.0,34.2,24.5,50,50.0
UCLA,62.9,48.3,73.8,48.5,71.5,70,70.0,80.0,63.0,22.4,62,50.0
North Carolina,62.0,46.7,70.4,44.6,65.1,74,70.0,57.1,58.3,100.0,62,100.0
East Carolina,61.9,13.3,57.7,79.2,90.5,58,100.0,80.0,60.9,71.0,62,50.0
San Diego State,61.9,33.3,67.7,73.5,72.8,70,80.0,80.0,66.9,0.0,62,50.0
Oklahoma,61.8,40.8,80.4,84.2,74.1,74,50.0,66.7,60.3,22.1,62,50.0
Baylor,61.6,40.8,76.2,69.6,59.7,74,55.0,80.0,67.5,59.0,50,50.0
West Virginia,60.8,44.2,59.2,33.1,76.4,78,90.0,66.7,55.3,5.9,86,50.0
Wyoming,60.0,54.2,38.1,40.8,86.4,78,100.0,42.9,51.6,0.0,74,100.0
Wisconsin,59.2,24.2,64.2,44.2,78.9,78,55.0,80.0,61.9,100.0,86,50.0
Death Valley,58.4,50.0,71.5,53.1,73.8,66,100.0,20.0,26.4,60.5,50,50.0
Georgia Tech,57.8,44.2,69.2,49.2,76.9,78,70.0,33.3,50.8,33.5,74,50.0
Panama City,57.6,44.2,77.7,65.8,64.5,62,50.0,57.1,54.1,50.0,50,50.0
SMU,57.3,46.7,71.5,55.0,65.0,62,70.0,50.0,50.4,35.0,50,50.0
Virginia Tech,56.3,29.2,73.1,56.9,63.5,54,55.0,80.0,69.2,20.6,62,50.0
Alabaster,56.0,36.7,68.8,14.2,70.2,78,55.0,66.7,53.8,100.0,62,50.0
Arkansas,55.2,33.3,67.3,48.5,65.6,58,70.0,66.7,64.8,6.0,50,50.0
Iowa,52.2,29.2,69.6,38.5,64.6,62,55.0,50.0,48.6,81.0,50,80.0
Houston,51.6,22.5,56.2,72.3,64.6,62,35.0,80.0,65.0,18.3,62,50.0
BYU,50.5,22.5,52.3,41.2,70.0,70,55.0,71.4,58.6,15.8,62,50.0
Virginia,50.3,13.3,56.5,78.1,50.0,54,55.0,80.0,72.5,7.2,50,50.0
Memphis,49.4,16.7,49.6,66.5,53.5,54,70.0,71.4,57.9,16.5,50,50.0
Maryland,48.5,20.0,60.0,40.8,67.0,70,35.0,57.1,53.0,100.0,50,50.0
California,48.0,13.3,55.0,60.8,62.0,58,70.0,42.9,35.3,100.0,50,50.0
Wake Forest,48.0,15.0,61.9,78.5,61.3,54,55.0,50.0,39.2,44.0,50,50.0
Fresno State,47.8,16.7,53.5,65.0,61.5,58,70.0,50.0,49.0,5.9,50,50.0
Arizona State,47.6,30.0,47.7,35.4,65.5,62,55.0,50.0,48.9,38.0,62,50.0
Southern Mississippi,47.5,3.3,44.2,32.7,68.5,54,100.0,66.7,53.0,18.7,50,50.0
Purdue,47.2,7.5,51.9,50.8,63.5,62,70.0,57.1,45.9,42.5,62,50.0
Duke,47.2,15.0,41.5,43.5,63.2,54,70.0,57.1,53.6,83.8,50,50.0
Colorado,46.9,24.2,58.8,66.2,65.8,62,35.0,50.0,52.9,2.0,50,50.0
Rutgers,46.9,3.3,39.2,45.0,57.5,54,80.0,80.0,53.4,62.0,50,50.0
Indiana,46.4,20.0,54.6,60.4,70.8,58,55.0,42.9,47.1,3.0,50,50.0
Missouri,46.4,7.5,58.1,64.6,58.2,70,70.0,28.6,31.3,100.0,50,50.0
