Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Notre Dame,84.6,96.7,93.1,99.2,84.3,78,90.0,50.0,71.8,53.0,86,100.0
Texas,81.3,90.8,83.1,97.7,89.7,82,90.0,50.0,53.5,51.5,98,80.0
Alabama,81.2,83.3,94.6,98.5,84.1,74,100.0,50.0,63.7,56.0,62,100.0
Bowling Green,79.7,86.7,98.5,62.3,78.4,70,100.0,50.0,69.6,53.0,74,100.0
Texas Tech,79.6,74.2,95.4,87.7,78.4,82,100.0,50.0,70.0,53.0,74,100.0
Nebraska,78.1,96.7,99.2,20.8,93.6,78,90.0,50.0,50.2,51.5,100,50.0
Ohio State,77.8,90.8,96.9,94.6,81.8,66,70.0,50.0,64.7,15.2,74,100.0
Georgia,75.4,89.2,97.7,61.5,85.0,78,70.0,50.0,69.7,51.5,50,50.0
Michigan,75.3,96.7,88.5,96.2,81.7,62,50.0,50.0,72.5,51.5,62,50.0
Ole Miss,75.2,70.0,89.2,96.9,75.0,86,80.0,50.0,71.0,51.5,74,50.0
Clemson,74.6,90.8,84.6,69.2,74.5,74,70.0,50.0,53.7,47.0,98,80.0
Auburn,74.2,55.8,81.5,93.8,75.8,78,100.0,50.0,60.8,51.5,98,100.0
USF,73.2,48.3,93.8,95.4,70.1,78,100.0,50.0,71.4,53.0,62,100.0
USC,71.7,83.3,96.2,56.2,76.8,62,70.0,50.0,63.7,51.5,62,50.0
Florida,71.6,65.0,82.3,83.8,73.5,78,70.0,50.0,67.9,53.0,86,100.0
Florida State,71.3,74.2,86.2,86.9,80.0,82,70.0,50.0,40.5,48.5,74,50.0
Texas A&M,71.1,63.3,72.3,80.0,74.2,78,100.0,50.0,62.8,51.5,74,50.0
Penn State,71.0,80.0,91.5,90.0,78.9,58,70.0,50.0,47.7,47.0,50,50.0
Rapid City,70.3,74.2,86.9,82.3,80.5,66,70.0,50.0,58.5,54.5,50,50.0
Oklahoma,70.1,54.2,77.7,70.8,87.0,78,90.0,50.0,56.5,53.0,98,50.0
LSU,69.5,66.7,78.5,78.5,73.0,70,70.0,50.0,72.6,53.0,62,100.0
Georgia Tech,69.0,70.0,73.1,66.2,78.2,82,100.0,50.0,25.8,47.0,74,50.0
Tennessee,67.3,46.7,73.8,91.5,68.2,78,90.0,50.0,73.2,51.5,62,50.0
Miami,67.3,83.3,90.8,0.0,85.0,66,90.0,50.0,17.3,47.0,86,50.0
Oregon,66.7,66.7,85.4,86.2,75.6,54,50.0,50.0,70.9,50.0,62,50.0
TCU,64.6,53.3,83.8,92.3,74.8,82,50.0,50.0,52.6,48.5,62,50.0
San Jose State,64.4,42.5,92.3,93.1,75.5,66,55.0,50.0,57.3,59.0,50,100.0
Hammond,64.0,70.0,87.7,40.0,68.1,66,70.0,50.0,34.7,44.0,74,50.0
Washington,63.7,66.7,90.0,36.9,66.9,66,65.0,50.0,46.5,47.0,74,50.0
NC State,63.2,57.5,79.2,58.5,78.8,78,70.0,50.0,37.2,44.0,62,50.0
Oklahoma State,62.9,55.8,74.6,74.6,67.8,50,70.0,50.0,54.7,100.0,50,50.0
Arizona State,61.5,40.8,76.2,71.5,63.2,58,90.0,50.0,55.7,48.5,62,50.0
Panama City,61.1,39.2,80.8,84.6,70.5,66,70.0,50.0,60.8,30.2,50,50.0
Wyoming,60.9,48.3,39.2,44.6,83.8,82,90.0,50.0,70.7,51.5,74,50.0
Death Valley,59.8,29.2,63.8,63.8,73.0,74,100.0,50.0,48.7,41.0,62,80.0
Duke,59.4,24.2,75.4,89.2,63.2,62,70.0,50.0,61.6,100.0,62,50.0
UCLA,59.0,40.8,76.9,45.4,67.5,66,70.0,50.0,65.9,51.5,62,50.0
Arkansas,58.6,46.7,70.8,47.7,71.6,66,90.0,50.0,30.7,44.0,50,50.0
West Virginia,57.4,33.3,60.0,42.3,79.0,62,70.0,50.0,60.9,53.0,86,100.0
Alabaster,57.2,46.7,67.7,12.3,75.6,70,100.0,50.0,24.0,41.0,62,50.0
Baylor,57.2,36.7,80.0,50.0,59.5,62,70.0,50.0,64.0,53.0,50,50.0
SMU,56.3,31.7,71.5,57.7,67.5,62,70.0,50.0,63.3,51.5,50,50.0
East Carolina,56.3,20.0,50.8,73.1,68.5,58,100.0,50.0,66.0,53.0,62,50.0
Houston,55.3,27.5,66.2,88.5,83.5,54,55.0,50.0,50.4,51.5,50,50.0
Stanford,54.8,33.3,49.2,60.8,67.1,54,90.0,50.0,58.6,47.0,50,50.0
North Texas,54.0,27.5,64.6,90.8,58.2,66,55.0,50.0,56.3,51.5,50,50.0
North Carolina,53.7,31.7,66.9,36.2,67.1,66,90.0,50.0,22.5,47.0,62,50.0
Virginia Tech,53.7,33.3,69.2,43.8,65.5,62,50.0,50.0,70.9,50.0,62,50.0
Wake Forest,52.8,5.8,61.5,72.3,65.8,62,90.0,50.0,61.2,51.5,50,50.0
Missouri,52.5,20.0,63.1,63.1,66.5,70,70.0,50.0,52.2,47.0,50,50.0
Memphis,51.3,16.7,57.7,76.2,53.5,58,70.0,50.0,68.0,50.0,50,50.0
Indiana,51.3,20.0,55.4,60.0,66.4,70,55.0,50.0,68.2,50.0,62,50.0
California,51.0,20.0,65.4,77.7,53.2,74,70.0,50.0,32.6,32.0,50,50.0
UCF,48.3,0.0,44.6,76.9,60.5,74,80.0,50.0,56.2,53.0,50,50.0
San Diego State,48.2,39.2,40.0,50.0,67.3,54,55.0,50.0,37.0,41.0,62,50.0
Iowa,47.7,29.2,70.0,26.2,58.0,62,55.0,50.0,34.5,41.0,50,50.0
Toledo,47.5,12.5,53.8,73.8,50.5,50,55.0,50.0,73.4,51.5,50,50.0
Wisconsin,47.4,20.0,60.8,16.9,66.3,70,55.0,50.0,47.8,41.0,74,50.0
Kansas,47.4,16.7,40.8,59.2,58.0,54,70.0,50.0,65.2,51.5,50,50.0
BYU,46.9,30.0,36.2,46.2,60.2,62,50.0,50.0,68.2,50.0,50,50.0
Virginia,46.4,16.7,56.2,81.5,50.5,54,55.0,50.0,37.1,41.0,50,50.0
Illinois,46.3,7.5,54.6,83.1,58.5,70,55.0,50.0,32.6,51.5,50,50.0
Kentucky,46.1,4.2,37.7,67.7,58.5,62,70.0,50.0,69.0,51.5,50,50.0
South Carolina,46.0,7.5,38.5,80.8,65.5,54,70.0,50.0,29.3,88.7,50,50.0
Troy,45.7,16.7,46.9,48.5,71.5,50,55.0,50.0,54.9,42.5,50,50.0
Pittsburgh,45.6,24.2,32.3,6.9,76.5,54,70.0,50.0,68.2,51.5,50,50.0
Temple,43.6,7.5,58.5,79.2,56.0,50,50.0,50.0,30.4,32.0,50,50.0
Charlotte,43.5,0.0,3.8,41.5,90.5,58,100.0,50.0,53.3,59.0,50,50.0
Louisville,43.2,13.3,43.8,17.7,58.8,74,70.0,50.0,37.8,32.0,62,50.0
Michigan State,42.3,7.5,48.5,30.0,56.0,54,55.0,50.0,62.6,54.5,50,50.0
Maryland,42.0,13.3,68.5,1.5,51.0,58,55.0,50.0,43.1,41.0,50,50.0
Purdue,42.0,3.3,53.1,30.8,60.5,58,55.0,50.0,53.1,47.0,50,50.0
Utah,41.8,7.5,41.5,75.4,60.5,62,50.0,50.0,34.2,13.4,50,50.0
Fresno State,41.6,0.0,45.4,54.6,56.5,66,55.0,50.0,41.5,59.0,50,50.0
Syracuse,41.6,0.0,36.9,18.5,66.0,62,70.0,50.0,48.2,77.0,62,50.0
Colorado,41.3,7.5,56.9,50.8,55.8,62,50.0,50.0,22.9,32.0,50,50.0
Air Force,41.1,0.0,26.9,53.8,55.8,50,70.0,50.0,65.7,50.0,50,50.0
Marshall,40.9,0.0,59.2,28.5,56.0,58,35.0,50.0,73.7,50.0,50,50.0
Rutgers,40.3,13.3,20.8,27.7,56.0,58,65.0,50.0,60.1,51.5,50,50.0
Iowa State,40.2,0.0,6.2,40.8,75.5,58,90.0,50.0,36.9,51.5,62,50.0
Ohio,40.1,3.3,15.4,53.1,58.5,54,70.0,50.0,60.4,51.5,50,50.0
Boston College,40.0,10.8,52.3,26.9,54.8,62,50.0,50.0,43.5,2.2,50,50.0
Florida International,40.0,5.8,6.7,50.0,57.5,62,80.0,50.0,55.1,41.0,50,50.0
Navy,39.8,13.3,21.5,19.2,65.5,62,50.0,50.0,67.2,54.5,50,50.0
Arizona,39.5,0.0,31.5,33.8,65.5,58,55.0,50.0,60.8,51.5,50,50.0
Hawai'i,39.1,0.0,35.4,37.7,53.2,54,70.0,50.0,43.1,45.5,50,50.0
Boise State,38.8,15.0,23.1,66.9,53.2,58,35.0,50.0,45.4,42.5,50,50.0
Southern Mississippi,38.6,5.8,6.7,50.0,62.2,58,80.0,50.0,35.9,41.0,50,50.0
Kansas State,38.0,0.0,34.6,33.1,58.2,54,70.0,50.0,33.7,32.0,50,50.0
UConn,37.1,3.3,27.7,55.4,50.0,58,35.0,50.0,38.1,100.0,50,50.0
Appalachian State,37.1,4.2,3.3,50.0,71.0,62,55.0,50.0,28.0,100.0,50,50.0
Minnesota,36.9,3.3,51.5,32.3,55.5,54,35.0,50.0,36.3,32.0,50,50.0
Louisiana Tech,36.6,0.0,24.6,23.1,50.0,58,55.0,50.0,68.0,50.0,50,50.0
Oregon State,36.6,0.0,33.8,38.5,50.5,54,55.0,50.0,40.9,41.0,50,50.0
Colorado State,36.5,0.0,18.5,8.5,79.8,70,35.0,50.0,73.7,51.5,50,50.0
Tulane,36.5,3.3,40.0,4.6,66.5,58,50.0,50.0,52.1,3.8,50,50.0
Army,36.5,0.0,25.4,43.1,65.5,62,55.0,50.0,28.3,32.0,50,50.0
Ball State,36.2,0.0,12.3,52.3,64.8,54,55.0,50.0,44.6,41.0,50,50.0
Kennesaw State,35.7,0.0,0.0,50.0,70.5,50,70.0,50.0,52.4,1.8,50,50.0
James Madison,35.6,0.0,17.7,34.6,60.5,54,55.0,50.0,49.3,42.5,50,50.0
Cincinnati,35.3,0.0,42.3,35.4,58.5,54,35.0,50.0,35.7,32.0,50,50.0
Washington State,34.8,0.0,0.0,50.0,56.0,54,70.0,50.0,39.3,45.5,50,50.0
Mississippi State,34.3,0.0,0.0,50.0,56.0,54,55.0,50.0,57.2,42.5,50,50.0
Massachusetts,34.1,0.0,0.0,50.0,60.8,54,50.0,50.0,55.9,41.0,50,50.0
Western Michigan,33.6,0.0,0.0,50.0,50.5,50,70.0,50.0,36.6,41.0,50,50.0
Liberty,33.5,0.0,22.3,5.4,71.0,58,35.0,50.0,50.6,59.0,50,50.0
Rice,33.4,7.5,11.5,2.3,65.5,58,55.0,50.0,38.0,41.0,50,50.0
UTSA,33.1,0.0,19.2,20.0,58.5,58,35.0,50.0,37.9,98.8,50,50.0
Georgia State,32.9,0.0,0.0,10.8,65.5,54,70.0,50.0,41.3,51.5,50,50.0
Northwestern,32.7,0.0,6.9,15.4,55.5,58,55.0,50.0,45.3,69.7,50,50.0
Missouri State,32.6,0.0,7.7,56.9,50.0,54,35.0,50.0,52.2,41.0,50,50.0
Arkansas State,32.1,0.0,13.8,0.8,65.5,58,55.0,50.0,41.4,32.0,50,50.0
Vanderbilt,32.1,0.0,16.9,22.3,50.0,50,35.0,50.0,61.8,53.0,50,50.0
Middle Tennessee,32.0,0.0,0.0,50.0,55.5,54,50.0,50.0,36.4,41.0,50,50.0
Tulsa,32.0,0.0,30.8,3.8,50.5,58,35.0,50.0,45.8,54.5,50,50.0
