Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Notre Dame,85.7,96.7,93.1,99.2,84.3,78,90.0,50.0,88.0,46.2,86,100.0
Bowling Green,82.1,86.7,98.5,62.3,78.4,70,100.0,50.0,82.4,100.0,74,100.0
Texas Tech,81.9,74.2,95.4,87.7,78.4,82,100.0,50.0,89.9,75.5,74,100.0
Alabama,81.9,83.3,94.6,98.5,84.1,74,100.0,50.0,55.7,100.0,62,100.0
Texas,81.5,90.8,83.1,97.7,89.7,82,90.0,50.0,71.7,11.2,98,80.0
Nebraska,80.2,96.7,99.2,20.8,93.6,78,90.0,50.0,58.7,100.0,100,50.0
Ohio State,78.2,90.8,96.9,94.6,81.8,66,70.0,50.0,60.5,40.2,74,100.0
Clemson,77.7,90.8,84.6,69.2,74.5,74,70.0,50.0,68.4,97.8,98,100.0
Georgia,76.3,89.2,97.7,61.5,85.0,78,70.0,50.0,62.3,100.0,50,50.0
Auburn,76.0,55.8,81.5,93.8,75.8,78,100.0,50.0,64.6,100.0,98,100.0
Florida State,75.5,74.2,86.2,86.9,80.0,82,70.0,50.0,73.7,99.8,74,50.0
Ole Miss,75.1,70.0,89.2,96.9,75.0,86,80.0,50.0,69.7,51.5,74,50.0
USF,73.9,48.3,93.8,95.4,70.1,78,100.0,50.0,87.5,32.3,62,100.0
Michigan,73.1,96.7,88.5,96.2,81.7,62,50.0,50.0,64.7,0.0,62,50.0
USC,72.7,83.3,96.2,56.2,76.8,62,70.0,50.0,57.6,100.0,62,50.0
Florida,72.5,65.0,82.3,83.8,73.5,78,70.0,50.0,72.2,72.5,86,100.0
Georgia Tech,72.3,70.0,73.1,66.2,78.2,82,100.0,50.0,72.0,34.1,74,50.0
Penn State,71.7,80.0,91.5,90.0,78.9,58,70.0,50.0,59.8,39.5,50,50.0
Miami,71.3,83.3,90.8,0.0,85.0,66,90.0,50.0,65.7,53.0,86,50.0
Texas A&M,70.2,63.3,72.3,80.0,74.2,78,100.0,50.0,72.0,0.0,74,50.0
Oklahoma,68.7,54.2,77.7,70.8,87.0,78,90.0,50.0,58.0,0.0,98,50.0
Rapid City,68.5,74.2,86.9,82.3,80.5,66,70.0,50.0,44.9,30.5,50,50.0
LSU,68.1,66.7,78.5,78.5,73.0,70,70.0,50.0,74.6,0.0,62,100.0
Oregon,66.5,66.7,85.4,86.2,75.6,54,50.0,50.0,62.7,65.0,62,50.0
San Jose State,66.3,42.5,92.3,93.1,75.5,66,55.0,50.0,65.6,100.0,50,100.0
Tennessee,66.3,46.7,73.8,91.5,68.2,78,90.0,50.0,42.5,100.0,62,50.0
Washington,65.9,66.7,90.0,36.9,66.9,66,65.0,50.0,53.9,100.0,74,50.0
Hammond,64.8,70.0,87.7,40.0,68.1,66,70.0,50.0,62.0,0.0,74,50.0
NC State,64.8,57.5,79.2,58.5,78.8,78,70.0,50.0,59.7,36.5,62,50.0
TCU,64.0,53.3,83.8,92.3,74.8,82,50.0,50.0,63.5,0.0,62,50.0
Oklahoma State,61.8,55.8,74.6,74.6,67.8,50,70.0,50.0,56.6,59.3,50,50.0
Death Valley,61.7,29.2,63.8,63.8,73.0,74,100.0,50.0,50.6,100.0,62,80.0
Alabaster,60.8,46.7,67.7,12.3,75.6,70,100.0,50.0,39.9,100.0,62,80.0
Arizona State,60.6,40.8,76.2,71.5,63.2,58,90.0,50.0,62.2,0.0,62,50.0
Panama City,60.2,39.2,80.8,84.6,70.5,66,70.0,50.0,48.3,35.6,50,50.0
Wyoming,59.9,48.3,39.2,44.6,83.8,82,90.0,50.0,58.0,50.0,74,50.0
West Virginia,59.7,33.3,60.0,42.3,79.0,62,70.0,50.0,83.9,68.0,86,100.0
Arkansas,59.7,46.7,70.8,47.7,71.6,66,90.0,50.0,50.5,28.1,50,50.0
Duke,58.4,24.2,75.4,89.2,63.2,62,70.0,50.0,49.2,100.0,62,50.0
UCLA,57.9,40.8,76.9,45.4,67.5,66,70.0,50.0,71.8,0.0,62,50.0
North Carolina,57.5,31.7,66.9,36.2,67.1,66,90.0,50.0,66.5,57.2,62,50.0
Baylor,55.8,36.7,80.0,50.0,59.5,62,70.0,50.0,58.2,20.8,50,50.0
Houston,55.1,27.5,66.2,88.5,83.5,54,55.0,50.0,62.9,12.3,50,50.0
SMU,54.7,31.7,71.5,57.7,67.5,62,70.0,50.0,62.4,0.0,50,50.0
East Carolina,54.0,20.0,50.8,73.1,68.5,58,100.0,50.0,56.4,0.0,62,50.0
Virginia Tech,53.4,33.3,69.2,43.8,65.5,62,50.0,50.0,55.6,81.7,62,50.0
Wake Forest,52.4,5.8,61.5,72.3,65.8,62,90.0,50.0,62.1,35.8,50,50.0
North Texas,52.0,27.5,64.6,90.8,58.2,66,55.0,50.0,49.8,0.0,50,50.0
