Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Notre Dame,85.5,96.7,93.1,99.2,84.3,78,90.0,50.0,82.3,57.5,86,100.0
Alabama,81.9,83.3,94.6,98.5,84.1,74,100.0,50.0,56.5,98.8,62,100.0
Texas Tech,81.5,74.2,95.4,87.7,78.4,82,100.0,50.0,90.4,62.0,74,100.0
Texas,81.4,90.8,83.1,97.7,89.7,82,90.0,50.0,67.1,19.8,98,80.0
Bowling Green,81.2,86.7,98.5,62.3,78.4,70,100.0,50.0,86.0,59.0,74,100.0
Nebraska,79.1,96.7,99.2,20.8,93.6,78,90.0,50.0,61.5,57.5,100,50.0
Ohio State,78.0,90.8,96.9,94.6,81.8,66,70.0,50.0,59.4,35.0,74,100.0
Michigan,76.1,96.7,88.5,96.2,81.7,62,50.0,50.0,81.0,56.0,62,50.0
Ole Miss,75.9,70.0,89.2,96.9,75.0,86,80.0,50.0,78.9,54.5,74,50.0
Georgia,74.4,89.2,97.7,61.5,85.0,78,70.0,50.0,62.6,38.1,50,50.0
Auburn,74.4,55.8,81.5,93.8,75.8,78,100.0,50.0,59.5,60.5,98,100.0
Clemson,74.1,90.8,84.6,69.2,74.5,74,70.0,50.0,61.1,10.1,98,80.0
Florida State,74.0,74.2,86.2,86.9,80.0,82,70.0,50.0,55.1,100.0,74,50.0
USF,73.2,48.3,93.8,95.4,70.1,78,100.0,50.0,82.9,22.4,62,100.0
Penn State,72.7,80.0,91.5,90.0,78.9,58,70.0,50.0,66.7,51.5,50,50.0
Texas A&M,72.6,63.3,72.3,80.0,74.2,78,100.0,50.0,78.9,59.0,74,50.0
Florida,72.6,65.0,82.3,83.8,73.5,78,70.0,50.0,63.5,100.0,86,100.0
Georgia Tech,72.3,70.0,73.1,66.2,78.2,82,100.0,50.0,64.8,53.0,74,50.0
USC,71.0,83.3,96.2,56.2,76.8,62,70.0,50.0,53.2,53.0,62,50.0
Rapid City,70.8,74.2,86.9,82.3,80.5,66,70.0,50.0,48.0,97.1,50,50.0
LSU,70.6,66.7,78.5,78.5,73.0,70,70.0,50.0,84.6,57.5,62,100.0
Miami,70.4,83.3,90.8,0.0,85.0,66,90.0,50.0,54.4,53.0,86,50.0
Oklahoma,69.9,54.2,77.7,70.8,87.0,78,90.0,50.0,56.9,45.5,98,50.0
TCU,66.6,53.3,83.8,92.3,74.8,82,50.0,50.0,76.3,51.5,62,50.0
Oregon,66.4,66.7,85.4,86.2,75.6,54,50.0,50.0,66.3,54.5,62,50.0
San Jose State,65.8,42.5,92.3,93.1,75.5,66,55.0,50.0,58.9,100.0,50,100.0
Hammond,65.3,70.0,87.7,40.0,68.1,66,70.0,50.0,51.1,45.5,74,50.0
Washington,65.3,66.7,90.0,36.9,66.9,66,65.0,50.0,45.7,100.0,74,50.0
Tennessee,65.1,46.7,73.8,91.5,68.2,78,90.0,50.0,48.8,42.5,62,50.0
NC State,65.0,57.5,79.2,58.5,78.8,78,70.0,50.0,47.4,76.4,62,50.0
Oklahoma State,62.4,55.8,74.6,74.6,67.8,50,70.0,50.0,65.3,57.5,50,50.0
Arizona State,62.3,40.8,76.2,71.5,63.2,58,90.0,50.0,64.1,51.5,62,50.0
Panama City,60.2,39.2,80.8,84.6,70.5,66,70.0,50.0,58.4,6.0,50,50.0
Alabaster,60.0,46.7,67.7,12.3,75.6,70,100.0,50.0,36.5,100.0,62,50.0
Wyoming,59.5,48.3,39.2,44.6,83.8,82,90.0,50.0,52.3,54.5,74,50.0
Arkansas,59.5,46.7,70.8,47.7,71.6,66,90.0,50.0,33.1,66.2,50,50.0
Death Valley,59.1,29.2,63.8,63.8,73.0,74,100.0,50.0,31.7,61.4,62,80.0
West Virginia,58.2,33.3,60.0,42.3,79.0,62,70.0,50.0,68.3,57.5,86,100.0
UCLA,58.0,40.8,76.9,45.4,67.5,66,70.0,50.0,54.5,48.5,62,50.0
Duke,58.0,24.2,75.4,89.2,63.2,62,70.0,50.0,60.0,57.5,62,50.0
North Carolina,57.2,31.7,66.9,36.2,67.1,66,90.0,50.0,54.2,78.3,62,50.0
Houston,57.0,27.5,66.2,88.5,83.5,54,55.0,50.0,69.3,57.5,50,50.0
Baylor,56.2,36.7,80.0,50.0,59.5,62,70.0,50.0,54.0,45.5,50,50.0
SMU,55.9,31.7,71.5,57.7,67.5,62,70.0,50.0,56.3,57.5,50,50.0
East Carolina,54.7,20.0,50.8,73.1,68.5,58,100.0,50.0,60.0,12.5,62,50.0
Stanford,53.2,33.3,49.2,60.8,67.1,54,90.0,50.0,42.2,36.5,50,50.0
Wake Forest,53.2,5.8,61.5,72.3,65.8,62,90.0,50.0,61.5,62.0,50,50.0
North Texas,53.1,27.5,64.6,90.8,58.2,66,55.0,50.0,50.1,38.0,50,50.0
Virginia Tech,52.5,33.3,69.2,43.8,65.5,62,50.0,50.0,58.2,44.0,62,50.0
California,51.8,20.0,65.4,77.7,53.2,74,70.0,50.0,44.9,27.5,50,50.0
Missouri,50.8,20.0,63.1,63.1,66.5,70,70.0,50.0,38.4,26.0,50,50.0
Indiana,50.7,20.0,55.4,60.0,66.4,70,55.0,50.0,60.7,50.0,62,50.0
San Diego State,49.1,39.2,40.0,50.0,67.3,54,55.0,50.0,48.1,41.0,62,50.0
Memphis,49.0,16.7,57.7,76.2,53.5,58,70.0,50.0,45.4,33.5,50,50.0
BYU,48.1,30.0,36.2,46.2,60.2,62,50.0,50.0,79.4,57.5,50,50.0
Iowa,47.4,29.2,70.0,26.2,58.0,62,55.0,50.0,36.3,29.0,50,50.0
Illinois,47.2,7.5,54.6,83.1,58.5,70,55.0,50.0,24.7,99.8,50,50.0
UCF,47.2,0.0,44.6,76.9,60.5,74,80.0,50.0,49.0,38.0,50,50.0
Wisconsin,47.2,20.0,60.8,16.9,66.3,70,55.0,50.0,51.9,26.0,74,50.0
Virginia,46.5,16.7,56.2,81.5,50.5,54,55.0,50.0,41.4,32.8,50,50.0
Kansas,46.1,16.7,40.8,59.2,58.0,54,70.0,50.0,57.5,29.1,50,50.0
South Carolina,45.4,7.5,38.5,80.8,65.5,54,70.0,50.0,26.9,77.3,50,50.0
Pittsburgh,45.4,24.2,32.3,6.9,76.5,54,70.0,50.0,64.7,56.0,50,50.0
Toledo,45.4,12.5,53.8,73.8,50.5,50,55.0,50.0,64.0,5.0,50,50.0
Troy,45.3,16.7,46.9,48.5,71.5,50,55.0,50.0,66.1,0.0,50,50.0
Temple,44.9,7.5,58.5,79.2,56.0,50,50.0,50.0,46.4,32.0,50,50.0
