Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Notre Dame,85.9,96.7,93.1,99.2,84.3,78,90.0,50.0,86.2,59.0,86,100.0
Texas Tech,81.9,74.2,95.4,87.7,78.4,82,100.0,50.0,91.7,69.5,74,100.0
Alabama,81.8,83.3,94.6,98.5,84.1,74,100.0,50.0,54.8,100.0,62,100.0
Bowling Green,81.6,86.7,98.5,62.3,78.4,70,100.0,50.0,85.8,72.5,74,100.0
Texas,81.1,90.8,83.1,97.7,89.7,82,90.0,50.0,70.5,1.4,98,80.0
Nebraska,80.1,96.7,99.2,20.8,93.6,78,90.0,50.0,57.4,100.0,100,50.0
Ohio State,77.2,90.8,96.9,94.6,81.8,66,70.0,50.0,62.8,0.0,74,100.0
Georgia,76.3,89.2,97.7,61.5,85.0,78,70.0,50.0,62.3,100.0,50,50.0
Auburn,76.3,55.8,81.5,93.8,75.8,78,100.0,50.0,67.9,100.0,98,100.0
Ole Miss,76.2,70.0,89.2,96.9,75.0,86,80.0,50.0,65.9,100.0,74,50.0
Clemson,75.0,90.8,84.6,69.2,74.5,74,70.0,50.0,68.7,19.5,98,80.0
USF,73.7,48.3,93.8,95.4,70.1,78,100.0,50.0,87.3,27.6,62,100.0
Florida State,73.5,74.2,86.2,86.9,80.0,82,70.0,50.0,74.0,32.9,74,50.0
Michigan,73.3,96.7,88.5,96.2,81.7,62,50.0,50.0,67.2,0.0,62,50.0
Florida,73.3,65.0,82.3,83.8,73.5,78,70.0,50.0,71.9,100.0,86,100.0
Texas A&M,72.7,63.3,72.3,80.0,74.2,78,100.0,50.0,76.5,69.5,74,50.0
Georgia Tech,72.7,70.0,73.1,66.2,78.2,82,100.0,50.0,71.9,48.5,74,50.0
Miami,72.5,83.3,90.8,0.0,85.0,66,90.0,50.0,62.4,100.0,86,50.0
USC,72.0,83.3,96.2,56.2,76.8,62,70.0,50.0,62.8,63.5,62,50.0
Penn State,72.0,80.0,91.5,90.0,78.9,58,70.0,50.0,62.3,42.5,50,50.0
Oklahoma,69.9,54.2,77.7,70.8,87.0,78,90.0,50.0,58.7,39.5,98,50.0
LSU,68.9,66.7,78.5,78.5,73.0,70,70.0,50.0,77.0,22.7,62,100.0
Rapid City,68.5,74.2,86.9,82.3,80.5,66,70.0,50.0,33.4,59.1,50,50.0
San Jose State,66.2,42.5,92.3,93.1,75.5,66,55.0,50.0,63.6,100.0,50,100.0
Oregon,66.1,66.7,85.4,86.2,75.6,54,50.0,50.0,59.7,62.0,62,50.0
NC State,65.8,57.5,79.2,58.5,78.8,78,70.0,50.0,58.2,75.3,62,50.0
Washington,65.4,66.7,90.0,36.9,66.9,66,65.0,50.0,47.2,100.0,74,50.0
Hammond,64.8,70.0,87.7,40.0,68.1,66,70.0,50.0,61.0,1.1,74,50.0
TCU,64.2,53.3,83.8,92.3,74.8,82,50.0,50.0,65.0,1.7,62,50.0
Tennessee,63.7,46.7,73.8,91.5,68.2,78,90.0,50.0,37.6,27.5,62,50.0
Oklahoma State,61.4,55.8,74.6,74.6,67.8,50,70.0,50.0,55.2,50.8,50,50.0
Arizona State,61.1,40.8,76.2,71.5,63.2,58,90.0,50.0,63.2,14.6,62,50.0
Arkansas,60.3,46.7,70.8,47.7,71.6,66,90.0,50.0,41.1,72.3,50,50.0
Death Valley,60.0,29.2,63.8,63.8,73.0,74,100.0,50.0,29.3,100.0,62,80.0
Wyoming,59.8,48.3,39.2,44.6,83.8,82,90.0,50.0,57.3,48.5,74,50.0
Alabaster,59.6,46.7,67.7,12.3,75.6,70,100.0,50.0,32.2,100.0,62,50.0
West Virginia,59.3,33.3,60.0,42.3,79.0,62,70.0,50.0,80.4,62.0,86,100.0
Panama City,59.2,39.2,80.8,84.6,70.5,66,70.0,50.0,48.7,0.0,50,50.0
Duke,58.9,24.2,75.4,89.2,63.2,62,70.0,50.0,55.1,100.0,62,50.0
North Carolina,58.4,31.7,66.9,36.2,67.1,66,90.0,50.0,61.5,100.0,62,50.0
UCLA,57.7,40.8,76.9,45.4,67.5,66,70.0,50.0,68.2,0.0,62,50.0
Baylor,57.2,36.7,80.0,50.0,59.5,62,70.0,50.0,61.4,57.2,50,50.0
Houston,56.0,27.5,66.2,88.5,83.5,54,55.0,50.0,71.8,17.3,50,50.0
SMU,55.0,31.7,71.5,57.7,67.5,62,70.0,50.0,66.3,0.0,50,50.0
East Carolina,54.3,20.0,50.8,73.1,68.5,58,100.0,50.0,60.0,0.0,62,50.0
Virginia Tech,53.5,33.3,69.2,43.8,65.5,62,50.0,50.0,49.7,100.0,62,50.0
North Texas,53.0,27.5,64.6,90.8,58.2,66,55.0,50.0,51.2,29.9,50,50.0
Wake Forest,52.1,5.8,61.5,72.3,65.8,62,90.0,50.0,62.4,22.5,50,50.0
Stanford,51.8,33.3,49.2,60.8,67.1,54,90.0,50.0,39.4,0.0,50,50.0
Memphis,50.9,16.7,57.7,76.2,53.5,58,70.0,50.0,43.3,100.0,50,50.0
California,50.7,20.0,65.4,77.7,53.2,74,70.0,50.0,28.9,31.4,50,50.0
San Diego State,50.5,39.2,40.0,50.0,67.3,54,55.0,50.0,52.8,73.4,62,50.0
