Team,MSPlus,_ratings,_recruiting,_transfer,_veteran,_speed,_qb,_performance,_clobber,_chaos,_generational,_heisman
Texas Tech,85.8,86.7,97.3,82.7,88.2,90,90.0,80.0,73.7,51.5,98,50.0
Notre Dame,84.6,83.3,93.5,99.2,84.1,74,100.0,80.0,64.9,51.5,74,100.0
Nebraska,83.3,96.7,98.8,49.6,94.6,74,70.0,80.0,70.2,50.0,100,100.0
Ohio State,81.7,90.8,96.9,68.8,79.8,62,90.0,80.0,70.2,50.0,86,50.0
Bowling Green,81.6,96.7,96.9,67.7,82.1,90,70.0,80.0,64.9,51.5,74,50.0
Ole Miss,79.9,70.8,89.2,93.8,79.8,78,100.0,80.0,64.9,51.5,74,50.0
Georgia,79.9,81.7,94.6,72.7,77.7,86,80.0,80.0,66.5,50.0,86,50.0
Texas,79.7,74.2,80.8,89.2,80.1,82,90.0,80.0,64.9,51.5,86,100.0
Florida State,77.2,70.0,88.5,42.7,83.5,82,100.0,80.0,64.9,51.5,74,100.0
Miami,76.9,89.2,91.9,47.7,82.9,70,70.0,80.0,62.7,51.5,86,50.0
Florida,76.3,83.3,86.2,85.4,80.7,78,70.0,80.0,54.2,51.5,62,50.0
Auburn,74.8,57.5,83.5,95.0,77.2,66,100.0,80.0,64.9,51.5,62,50.0
Hammond,74.4,65.0,85.8,66.9,77.0,74,90.0,80.0,66.5,50.0,74,50.0
Oregon,72.5,74.2,86.2,89.2,81.4,70,50.0,80.0,53.5,51.5,74,50.0
Alabama,72.3,74.2,95.4,78.8,78.3,86,90.0,20.0,36.5,47.0,98,50.0
Michigan,72.2,65.0,85.4,96.5,72.7,62,80.0,80.0,54.7,51.5,50,50.0
USF,71.3,44.2,95.8,77.7,69.0,78,100.0,80.0,47.8,54.5,62,50.0
Washington,70.0,55.8,88.1,61.5,67.1,66,80.0,80.0,62.0,51.5,86,50.0
Texas A&M,69.9,70.0,76.2,86.5,84.5,66,50.0,80.0,59.9,51.5,62,50.0
Tennessee,69.8,46.7,74.6,90.0,72.5,74,90.0,80.0,58.3,50.0,74,50.0
TCU,69.2,62.5,80.0,91.9,67.5,58,70.0,80.0,64.2,51.5,50,50.0
LSU,68.9,70.0,80.0,86.9,76.4,74,55.0,50.0,66.5,50.0,74,50.0
Rapid City,68.0,80.0,85.8,86.2,76.9,82,70.0,20.0,35.7,47.0,62,50.0
Penn State,67.4,60.8,91.9,83.5,75.2,74,100.0,20.0,25.1,47.0,74,50.0
Death Valley,67.2,50.0,71.5,53.1,73.8,66,100.0,80.0,64.9,51.5,50,50.0
San Jose State,66.6,63.3,93.5,93.8,69.0,74,70.0,50.0,25.1,47.0,50,50.0
Wyoming,66.4,54.2,38.1,40.8,86.4,78,100.0,80.0,64.9,51.5,74,100.0
Clemson,65.2,83.3,86.2,71.5,73.2,58,70.0,20.0,25.1,47.0,74,50.0
NC State,64.6,53.3,80.0,73.1,71.8,86,90.0,20.0,42.1,47.0,86,50.0
Oklahoma,64.4,40.8,80.4,84.2,74.1,74,50.0,80.0,65.4,50.0,62,50.0
USC,64.0,86.7,92.3,37.3,75.3,70,70.0,20.0,27.9,41.0,50,50.0
San Diego State,63.4,33.3,67.7,73.5,72.8,70,80.0,80.0,66.3,50.0,62,50.0
Oklahoma State,62.9,53.3,76.2,48.8,74.5,58,70.0,80.0,47.8,54.5,50,50.0
West Virginia,62.1,44.2,59.2,33.1,76.4,78,90.0,80.0,38.1,50.0,86,50.0
Baylor,61.2,40.8,76.2,69.6,59.7,74,55.0,80.0,66.5,50.0,50,50.0
East Carolina,60.6,13.3,57.7,79.2,90.5,58,100.0,80.0,52.8,51.5,62,50.0
Arkansas,58.2,33.3,67.3,48.5,65.6,58,70.0,80.0,69.0,50.0,50,50.0
Virginia Tech,57.3,29.2,73.1,56.9,63.5,54,55.0,80.0,70.2,50.0,62,50.0
Alabaster,56.7,36.7,68.8,14.2,70.2,78,55.0,80.0,64.2,51.5,62,50.0
Wisconsin,56.6,24.2,64.2,44.2,78.9,78,55.0,80.0,48.4,50.0,86,50.0
Georgia Tech,54.8,44.2,69.2,49.2,76.9,78,70.0,20.0,25.1,47.0,74,50.0
UCLA,54.5,48.3,73.8,48.5,71.5,70,70.0,20.0,25.8,41.0,62,50.0
North Carolina,53.5,46.7,70.4,44.6,65.1,74,70.0,20.0,30.1,47.0,62,50.0
SMU,53.4,46.7,71.5,55.0,65.0,62,70.0,20.0,37.2,41.0,50,50.0
BYU,53.0,22.5,52.3,41.2,70.0,70,55.0,80.0,66.3,50.0,62,50.0
Fresno State,52.9,16.7,53.5,65.0,61.5,58,70.0,80.0,59.5,50.0,50,50.0
Panama City,52.6,44.2,77.7,65.8,64.5,62,50.0,20.0,42.1,41.0,50,50.0
Houston,52.6,22.5,56.2,72.3,64.6,62,35.0,80.0,64.9,51.5,62,50.0
Arizona State,52.6,30.0,47.7,35.4,65.5,62,55.0,80.0,69.4,50.0,62,50.0
California,52.3,13.3,55.0,60.8,62.0,58,70.0,80.0,59.9,51.5,50,50.0
Southern Mississippi,51.1,3.3,44.2,32.7,68.5,54,100.0,80.0,69.0,50.0,50,50.0
Missouri,50.7,7.5,58.1,64.6,58.2,70,70.0,80.0,40.3,50.0,50,50.0
Purdue,50.7,7.5,51.9,50.8,63.5,62,70.0,80.0,57.8,51.5,62,50.0
Virginia,50.5,13.3,56.5,78.1,50.0,54,55.0,80.0,58.8,50.0,50,50.0
Iowa,50.1,29.2,69.6,38.5,64.6,62,55.0,50.0,42.7,47.0,50,50.0
Florida International,49.6,0.0,42.3,50.4,64.5,70,80.0,80.0,66.3,50.0,50,50.0
Duke,49.3,15.0,41.5,43.5,63.2,54,70.0,80.0,63.1,50.0,50,50.0
Illinois,48.9,7.5,48.8,72.3,54.5,62,50.0,80.0,69.4,50.0,50,50.0
Cincinnati,48.3,0.0,46.2,45.0,73.2,62,55.0,80.0,66.3,50.0,74,50.0
Navy,48.2,0.0,42.3,36.5,81.0,82,55.0,80.0,69.0,50.0,50,50.0
Memphis,47.5,16.7,49.6,66.5,53.5,54,70.0,50.0,51.5,42.5,50,50.0
North Texas,47.4,15.0,39.2,50.4,68.5,70,35.0,80.0,69.4,50.0,50,50.0
Syracuse,47.1,0.0,33.5,41.2,68.5,66,70.0,80.0,66.5,50.0,62,50.0
Air Force,46.9,0.0,32.3,63.1,55.5,54,80.0,80.0,62.7,51.5,50,50.0
UCF,46.8,7.5,36.2,58.5,63.5,66,55.0,80.0,57.1,51.5,50,50.0
Toledo,46.5,7.5,48.1,76.5,56.0,62,35.0,80.0,56.9,50.0,50,50.0
Rutgers,46.4,3.3,39.2,45.0,57.5,54,80.0,80.0,50.0,54.5,50,50.0
Michigan State,46.0,16.7,57.3,24.6,50.0,50,55.0,80.0,47.8,54.5,50,50.0
Boise State,46.0,20.8,28.1,50.0,64.8,50,55.0,80.0,49.2,54.5,50,50.0
Minnesota,45.8,10.8,53.8,38.5,70.5,50,35.0,80.0,58.8,50.0,50,50.0
Kentucky,45.4,3.3,43.1,53.5,61.0,74,35.0,80.0,69.1,50.0,50,50.0
Hawai'i,45.3,0.0,47.7,41.5,50.5,58,70.0,80.0,52.8,51.5,50,50.0
Washington State,45.1,0.0,33.8,55.0,55.5,66,70.0,80.0,48.9,56.0,50,50.0
Indiana,45.0,20.0,54.6,60.4,70.8,58,55.0,20.0,41.4,47.0,50,50.0
Marshall,44.6,0.0,43.8,30.0,90.5,54,35.0,80.0,61.5,51.5,62,50.0
Colorado,44.4,24.2,58.8,66.2,65.8,62,35.0,20.0,45.0,41.0,50,50.0
